key	nonce	ru
leaderselect	1	Лидеры должны выбираться, но не напрямую путём всенародного голосования. Оно должно быть взвешенным, чтобы голоса всех провинций учитывались, а не только самых крупных.
leaderselect	2	Лидеры должны быть в основном наследственными, передаваться по крови.
leaderselect	3	Лидеры должны быть выбраны демократическим путём нацией, которую они возглавят.
leaderselect	4	Лидеры должны быть выбраны людьми c наибольшим пакетом акций в стране, подобно тому, как корпорация может выбрать своего генерального директора.
leaderselect	5	У нас не должно быть единого лидера, который выбирается любым способом.
policysetting		Полномочия для установления политики
policysetting	0	Власть по установлению политики должна в основном находиться на провинциальном или местном региональном уровне, с ограниченной властью на национальном уровне.
policysetting	1	Исполнительная власть страны должна обладать большинством полномочий по принятию решений и, как правило, создавать политику.
policysetting	2	Избранная национальная законодательная власть должна определять единую политику для всей страны, в то время как провинции или регионы не должны иметь возможности устанавивать собственные отличающиеся законы от общенациональных.
policysetting	3	Власть должна принадлежать непосредственно народу, который должен инициировать принятие законов путём голосования по инициативе граждан.
policysetting	4	Власть должна принадлежать самым богатым людям, поскольку они, как правило, наиболее способные и вносят наибольший вклад в развитие страны и политики.
policysetting	5	Ни один человек или орган не должен иметь полномочий властвовать над человеком и принуждать его к чему-либо, мы должны быть свободны в своей жизни.
policysetting	6	Власть должна быть разделена между национальными и местными органами власти примерно поровну.
peoplepolicy		Роль населения в политике
peoplepolicy	0	Население, как коллектив, обычно может понимать и принимать хорошие решения в отношении политики с небольшим количеством объяснений, чтобы иметь возможность напрямую решать, чего они хотят.
peoplepolicy	1	Богатые, вкладывающие деньги в политику, как правило, знают, чего они хотят, и имеют хорошее мнение, но бедные редко знают, что для них хорошо.
peoplepolicy	2	Население в целом имеет плохое мнение, и правительству было бы лучше обойтись без него.
peoplepolicy	3	Люди должны иметь право голоса, но вместо общенационального народного мнения правительство должно стараться отдавать больший приоритет местному региональному представительству.
peoplepolicy	4	Мнение других людей не должно влиять на то, что вам разрешено делать.
peoplepolicy	5	Население обычно знает, чего оно хочет, но нельзя ожидать, что у него будет время на изучение и голосование по каждому вопросу, поэтому следует делегировать это представителям.
genetic		Генная инженерия
genetic	0	Генная инженерия должна быть не только разрешена, но и обязательна. Мы должны модифицировать младенцев, чтобы они в совершенстве владели именно тем, что нам нужно, и планировать их жизнь так, чтобы они могли идеально интегрироваться в общество, не задаваясь вопросом о своём месте.
genetic	1	Государство не должно стоять на пути генной инженерии. Тем, кто хочет создать лучших детей с помощью технологии, должно быть позволено это сделать.
genetic	2	Мы должны использовать генетические модификации во благо, например, для искоренения болезней и исправления генетических дефектов, но большинство признаков следует оставить на усмотрение генетики.
genetic	3	Генетика человека не должна быть чем-то, что можно изменять. Если только без генетической модификации человек не погибнет, мы должны избегать этого.
genetic	4	Генная инженерия представляет собой серьёзную угрозу, позволяя сверхбогатым людям рожать нечеловечески совершенных детей, которые могут превзойти бедных, что ещё больше усиливает классовый разрыв в обществе, что должно быть запрещено, за исключением случаев жизни и смерти.
flagburn		Сожжение флага
flagburn	0	У страны есть серьезные проблемы, и единственный способ добиться их решения — привлечь внимание. Сожжение флага довольно безобидно, но привлекает внимание, поэтому это хороший метод протеста.
flagburn	1	Поддержка нации должна быть обязательной, и поэтому повреждение флага должно быть крайне незаконным.
flagburn	2	Я поддерживаю право на протест и уничтожение флагов, но сжигание флага должно регулироваться в целях безопасности, чтобы оно не представляло опасности для людей или имущества из-за дыма или огня.
flagburn	3	Флаг — это символ нашей нации. Уничтожение флага является враждебным актом против нации и должно быть незаконным.
flagburn	4	Наша страна должна быть свободной, и если у вас есть флаг, вы должны иметь право сжечь его, если вы этого хотите. Никто не вправе запретить вам это сделать или как-то ограничить вас.
freespeech		Свобода слова
freespeech	0	У вас должна быть свобода говорить что угодно. Это не противозаконно, пока вы не совершаете противозаконные действия на основе этой речи.
freespeech	1	Речь должна быть свободной, но вам не должна быть гарантирована защита от обратной реакции, включая удаление с платформ, если ваше мнение там нежелательно.
freespeech	2	У вас не должно быть свободы слова. Государство должно решать, что допустимо говорить.
freespeech	3	Речь, как правило, должна быть свободной, если это буквальная речь. Однако символическая речь, такая как уничтожение символов правительства или религиозных текстов, является грубо оскорбительной и должна быть запрещена.
freespeech	4	Мы должны запретить и наказать очень оскорбительные выражения, в том числе язык вражды (хейтспич). Они должны наказываться штрафами в оффлайне и деплатформированием в онлайне.
drugs		Наркотики
drugs	0	Наркотики опасны для нашего общества и могут разрушить семьи и отношения. Для нашей безопасности следует запретить их продажу для рекреационного использования и проводить программы по просвещению людей об опасностях, которые они представляют.
drugs	1	Запреты на многие наркотики, например, марихуану, были разработаны для непропорционального воздействия на бедные слои населения и меньшинства. Мы должны отменить большинство приговоров, связанных с наркотиками, и ввести программы, помогающие наркоманам вернуть свою жизнь в нормальное русло.
drugs	2	То, что вы делаете со своим организмом, — ваше личное дело. Мы должны легализовать наркотики, чтобы они не попадали на чёрный рынок.
drugs	3	Мы должны просвещать наших детей об опасности наркотиков и запретить самые вредные из них, но такие, как марихуана, должны быть разрешены для рекреационного использования.
drugs	4	Мы можем использовать наркотики, чтобы убедиться, что люди не способны создавать проблемы. Мы можем запретить их и предоставлять только тогда, когда люди действуют в соответствии с требованиями государства.
baker		Религиозный пекарь отказывается печь торт для гей-пары
baker	0	Если они не просят его нарисовать графическое изображение, изображающее гомосексуализм, у него не должно быть проблем с этим. Если это просто написание их имён и что-то вроде флага гордости, то отказ — это дискриминация.
baker	1	Это неприемлемая дискриминация и гомофобия. Этот человек не должен заниматься бизнесом.
baker	2	Эта пара должна быть арестована. Они должны быть в браке с кем-то, с кем они могут произвести на свет детей.
baker	3	Пекаря просят сделать что-то против его религии. Он не должен быть обязан печь что-то в честь этого.
baker	4	Люди никогда не должны быть обязаны что-либо делать. Пекарь должен иметь возможность отказать в своих услугах любому по любой причине, они могут получить торт в другом месте.
abortion		Аборт
abortion	0	Право на жизнь является фундаментальным правом, и аборты должны быть запрещены почти во всех случаях.
abortion	1	Запреты на аборты в первую очередь вредят бедным и часто оставляют матерей-одиночек в нищете с ребенком. Аборт должен быть легальным для всех.
abortion	2	Вы должны иметь полный контроль над своим телом, в том числе возможность сделать аборт без каких-либо ограничений.
abortion	3	Аборт должен быть легальным, но редким. Люди должны быть осведомлены об альтернативных методах контрацепции, и должны быть введены ограничения на аборты на поздних сроках без причины.
abortion	4	Если государство разрешает вам иметь ребенка, вы должны его иметь, если только жизнь матери не находится под угрозой. Однако для людей, не получивших разрешения на рождение ребенка, аборты должны быть обязательными, и к ним должны применяться строгие меры наказания.
climate		Изменение климата
climate	0	Мы должны действовать, чтобы предотвратить изменение климата, и каждый должен внести свой вклад. Мы должны стимулировать отдельных людей к переходу на «зелёный» образ жизни, а также регулировать деятельность компаний, чтобы они соответствовали экологическим стандартам.
climate	1	Корпорации и богатые люди вносят наибольший вклад в изменение климата. Мы должны направить на них большую часть наших нормативных актов, чтобы люди не тратили энергию на питание огромных особняков, которые им не нужны.
climate	2	Глобального потепления на самом деле не существует. Безумие требовать от всех перестраивать здания и автомобили для борьбы с ним.
climate	3	Люди не должны быть обязаны делать что-либо для борьбы с изменением климата. Люди могут добровольно сокращать выбросы, если хотят.
climate	4	От населения следует ожидать минимизации собственных отходов, чтобы как можно больше ресурсов оставалось для использования государством для поддержания своих интересов.
reproductive		Репродуктивные стимулы
reproductive	0	Мы должны держать население под контролем, но стимулы не остановят богатых, поэтому мы должны ввести жёсткое ограничение на количество детей, которое может иметь человек.
reproductive	1	Люди должны иметь столько детей, сколько хотят. Это не дело государства.
reproductive	2	Мы должны поощрять наших коренных жителей иметь больше детей, предлагая налоговые льготы, чтобы они могли поддерживать нашу экономику по мере старения населения и обеспечивать передачу нашей культуры по наследству.
reproductive	3	У Земли есть предел численности населения, которое она может поддерживать, и хотя мы не должны вводить жёсткий контроль, мы должны стимулировать людей ограничивать число детей, которых они имеют.
reproductive	4	Те, у кого есть гены, нужные государству, должны иметь детей и рожать их часто, а тем, у кого гены плохие, вообще не следует разрешать иметь детей.
reproductive	5	Стимулы, ограничивающие численность населения, навредят только бедным, поскольку богатые не будут заботиться о стимулах. Мы должны оказывать финансовую поддержку бедным, чтобы наша молодёжь могла удовлетворить свои потребности в детстве, но не настолько, чтобы считать это стимулом.
ai		Искусственный интеллект (ИИ)
ai	0	Искусственному интеллекту нельзя доверять, поскольку он представляет потенциальную угрозу для людей. Мы не должны позволить ему вытеснить живых людей с их рабочих мест.
ai	1	Люди и компании должны иметь возможность свободно использовать ИИ.
ai	2	Мы должны полностью принять ИИ. Скоро он сможет и должен быть способен принимать решения гораздо объективнее, быстрее и эффективнее, чем человек.
ai	3	Искусственный интеллект в значительной степени отнимает рабочие места у работников с низким уровнем дохода и может нанести ущерб их средствам к существованию. Более того, обучая ИИ на необъективных данных, можно скрывать таким образом дискриминацию. Мы должны ограничить его использование.
ai	4	Мы должны принять искусственный интеллект, но должны быть уверены, что для работников, которых он вытеснит, есть адекватные альтернативы, и что любой ущерб, который он может нанести, будет ограничен.
prostitution		Проституция
prostitution	0	Люди должны быть свободны делать со своим телом всё, что они хотят. Если они хотят продавать себя за секс, это их собственный выбор.
prostitution	1	Секс должен быть предназначен только для брака или, по крайней мере, для долгосрочных отношений. Проституция и другие виды секс-работы аморальны.
prostitution	2	Не следует разрешать несанкционированный секс, так как это может привести к появлению детей с далеко неидеальными характеристиками.
prostitution	3	Мы должны регулировать проституцию и другие виды секс-работы, потому что альтернативой этому является чёрный рынок, что гораздо хуже.
prostitution	4	Проституция использует бедных в своих интересах, заставляя их продавать себя богатым людям только для того, чтобы иметь возможность оплачивать счета. Покупка секса должна быть незаконной.
praysch		Молитвы в школе
praysch	0	В большинстве школ должна быть организована ежедневная молитва.
praysch	1	Я не против введения в школах минуты молчания, во время которой ученики могут молиться по своему выбору, но не буду никому навязывать это.
praysch	2	Молитве не нужно отводить отдельное время в школах.
praysch	3	Церковные школы могут существовать и проводить молитвы, если захотят, но государственные школы не должны этого делать.
creationism		Креационизм в школе
creationism	0	Вселенная была создана высшей силой. Мы должны преподавать это в наших школах, а эволюция должна упоминаться только при демонстрации её ошибочности.
creationism	1	Церковные школы могут преподавать креационизм, если захотят, но государственные школы не должны.
creationism	2	Все школы должны преподавать исключительно научные теории, такие как эволюция. Религиозным представлениям не место в образовательных учреждениях.
creationism	3	Государство не должно принимать чью-либо сторону. Государственные школы должны быть обязаны преподавать и креационизм, и эволюцию, а ученики могут сами решать, во что им верить.
church		Религиозные сооружения
church	0	Правительство должно поощрять строительство новых храмов и церквей по всей стране. Религиозные сооружения важны для нашей нации, и они должны получать государственное финансирование, чтобы они могли оставаться открытыми.
church	1	Храмы и церкви могут быть полезны для людей, но желательно, чтобы в стране было достаточно религиозных сооружений всех основных религий, а не только какой-то одной.
church	2	В нашей стране уже достаточно храмов и церквей, их число должно оставаться таким, каким оно есть сейчас. Государство и церковь не должны вмешиваться в дела друг друга.
church	3	Цервкей и храмов чересчур много, необходимо сократить их количество, и построить вместо них то, что действительно нужно людям: школы, больницы, предприятия.
memorial		Религиозные высказывания на национальных мемориалах
memorial	0	Религия — важная часть нашей нации, и большинство наших солдат хотели бы видеть религиозные послания на своих мемориалах.
memorial	1	Я против религиозных высказываний и упоминания божества, которого, вероятно, не существует, на мемориалах нашим погибшим героям.
memorial	2	Наши национальные мемориалы не должны упоминать Бога или религию, они должны служить только для того, чтобы почтить память павших.
memorial	3	Нет ничего плохого в упоминании Бога на наших мемориалах, если это не является активной пропагандой какой-либо конкретной религии.
holidays		Религиозные праздники
holidays	0	Религиозные праздники самой популярной религии в стране должны быть также национальными праздниками, чтобы все могли отдыхать в связи с ними.
holidays	1	Государство не должно делать религиозные праздники национальными праздниками.
holidays	2	Религиозные праздники должны иметь меньше влияния, чем они имеют сегодня, и уж точно не должны быть национальными праздниками. Вместо них лучше устраивать больше праздников вокруг значимых для нашей страны исторических дат, или делать акцент на отдыхе, а не на соблюдении религиозных обрядов.
holidays	3	Правительство должно гарантировать наиболее святые праздники всех основных религий в стране, чтобы представители всех религий могли выполнять свои религиозные обязанности.
immigration		Иммиграция
immigration	0	Иммигранты, попавшиеся на нарушении законов, должны быть депортированы, но на тех, кто незаконно въезжает в страну, следует обращать внимание и разрешать им оставаться, поскольку они работают за меньшую зарплату и в худших условиях, чем наши граждане, и позволяют нам снизить стоимость жизни для наших граждан.
immigration	1	Мы должны иметь возможность проверять иммигрантов, прибывающих в нашу страну, и в конечном итоге решать, кто въезжает в страну. Те, кто въезжает незаконно, должны быть найдены и депортированы.
immigration	2	Мы можем принимать иммигрантов, но от них следует ожидать изучения нашего языка и культуры, а также приложить все усилия для интеграции в наш народ и образ жизни.
immigration	3	Мы должны принимать и поощрять переезд к нам талантливых, образованных иммигрантов. Мы можем предоставить им лучшее, что есть в нашей стране, а они смогут улучшить нашу страну своими талантами.
immigration	4	Я поддерживаю идею открытия наших границ для всех, кто хочет иммигрировать. Свобода передвижения — это важнейшее право человека.
immigration	5	Мы должны закрыть наши границы и полностью прекратить иммиграцию. Наша нация предназначена только для нашего народа.
immigration	6	Мы должны убедиться, что в иммигрантах, которых мы впускаем, есть потребность. Те, кто берётся за низкооплачиваемую работу, которую может выполнять любой, отнимают работу у наших граждан. Однако я бы поддержал иммигрантов, обладающих профессиональными навыками там, где у нас их не хватает.
immigration	7	Мы должны облегчить и ускорить процесс легальной иммиграции в нашу страну. Иммигранты улучшают нашу нацию, и мы можем обеспечить многим из них гораздо лучшее качество жизни.
parliament		Региональный союз + Парламент
parliament	0	Этот союз включает в себя множество наций с разными языками, самобытностью и культурой, и они способны сохранять эту культурную самобытность. Поэтому я не вижу никаких проблем с нашим членством.
parliament	1	Я поддерживаю этот региональный союз. Мы должны использовать этот общий парламент для продвижения законодательства, которое принесет пользу народам всех наших стран.
parliament	2	Этот союз позволяет нам лучше защищать наших людей посредством международных стандартов безопасности продукции и может облегчить нам международные торговые сделки, повысить качество жизни.
parliament	3	Я против того, чтобы быть частью любого подобного союза. Меня не интересует, каковы законы других стран, но я категорически против того, чтобы давать им право голоса в наших законах.
parliament	4	Наши законы должны решать наши собственные люди, а не те, кто находится за границей. Я против участия в этом союзе.
parliament	5	Участие в этом региональном союзе дает нам гораздо большее влияние в международных делах, значительные экономические преимущества и позволяет нам иметь больше дипломатических возможностей. Поэтому я поддерживаю членство в этом союзе.
parliament	6	Свобода нашего народа — мой главный приоритет, а правила этого союза могут ограничить свободу в нашей стране. Я против участия в этом союзе.
intcurrency		Международная валюта
intcurrency	0	Наша историческая валюта — это часть нашей национальной идентичности. Мы не можем отказаться от неё ради небольшого облегчения операций с иностранцами.
intcurrency	1	Совместное использование валюты с соседними странами повышает стабильность нашей валюты и придает ей больший вес на международном уровне, поэтому я поддерживаю эту идею.
intcurrency	2	Я поддерживаю совместное использование валюты с нашими соседями, так как это упростит жизнь всем в зоне совместного использования валюты и облегчит международную торговлю.
intcurrency	3	Я против совместного использования валюты с другими странами. Мы должны иметь возможность принимать решения о своей валюте самостоятельно, и иностранцы не должны иметь на это права.
intcurrency	4	Я поддерживаю использование общей валюты с соседними странами. Это позволит нашим и их жителям легко путешествовать друг к другу и упростит транзакции в зоне действия общей валюты.
intcurrency	5	Возможность печатать собственную валюту, когда нам нужно стимулировать экономику, ценна для нашей страны и стоит больше, чем преимущества общей валюты.
intcurrency	6	Государство не должно регулировать валюту, люди должны быть свободны в выборе того, что они принимают в качестве оплаты, например, криптовалюту, материальные товары или валюту другой страны, если они считают, что она имеет ценность.
refugees		Беженцы
refugees	0	Мы должны принимать беженцев только в том случае, если они могут что-то предложить нашей стране, будь то таланты специалистов или сведения о стране, из которой они бегут.
refugees	1	Наш долг — помогать нуждающимся людям. Мы должны принять столько беженцев, сколько мы в состоянии комфортно содержать.
refugees	2	Если они смогут добраться до нашей страны, мы не должны отказывать им во въезде, они должны иметь право быть частью нашего народа.
refugees	3	Эти люди могут представлять угрозу для наших граждан. Мы должны принимать очень мало беженцев, только после тщательной проверки биографии, на строгих условиях.
refugees	4	Беженцы — не наша проблема. Им не следует разрешать въезд в страну.
refugees	5	У нас должна быть система, при которой беженцы проходят проверку, но после того, как они её проходят, мы должны впускать их в страну при соблюдении условий для интеграции в наше общество.
minoritylang		Группа меньшинств делает язык официальным там, где на нём много говорят
minoritylang	0	Люди, которые не говорят на нашем языке, должны быть депортированы. Нет причин для другого языка.
minoritylang	1	Мы должны добавить его в качестве дополнительного языка в этом населённом пункте, так как это может значительно облегчить жизнь этих людей.
minoritylang	2	Для нашей нации важно иметь единый государственный официальный язык. Следует ожидать, что эти люди будут изучать и понимать государственный язык.
minoritylang	3	Это создаст чрезмерное бремя для нашей промышленности, связанное с маркировкой всего для всех языков для всех населённых пунктов. У нас должен быть один государственный язык.
military		Когда следует использовать военные действия
military	0	Мы должны использовать наши вооружённые силы в качестве сдерживающего фактора, чтобы гарантировать, что на нас не нападут, поскольку каждый раз, когда мы вступаем в войну, мы подвергаем риску жизни наших граждан.
military	1	Состояние других стран не должно нас волновать, поэтому любые вооружённые силы должны использоваться только для самообороны.
military	2	Мы должны использовать наши вооружённые силы для обеспечения благополучия и свободы людей во всем мире, например, для участия в международных миротворческих миссиях и для замены правительств, не соблюдающих права человека.
military	3	Мы должны использовать наши вооружённые силы для нападения и аннексии территорий, которые должны принадлежать нам.
military	4	Наши вооружённые силы должны защищать наши интересы за рубежом, чтобы обеспечить наше влияние, например, путём свержения враждебных правительств.
military	5	У нас не должно быть армии.
military	6	Мы должны использовать наши вооружённые силы в первую очередь для обеспечения сохранения статуса и независимости нашей страны, например, для защиты союзников и обеспечения того, чтобы другие страны не пытались захватить нашу землю или воду.
borderchecks		Упразднение пограничного контроля (Шенгенское соглашение)
borderchecks	0	Я против этого, так как мы не должны допускать людей из других стран в нашу страну вообще.
borderchecks	1	Важно, чтобы мы могли проверять, кто въезжает в нашу страну. С упразднением пограничного контроля мы не сможем этого делать, что неприемлемо.
borderchecks	2	Это соглашение является выигрышем для всех и может сделать возможным более тесные союзы между нашими народами.
borderchecks	3	Я поддерживаю это соглашение. Пока люди уважают наши законы и ценности, это может облегчить посещение нашей страны туристами и повысить наше национальное богатство.
borderchecks	4	Я поддерживаю это соглашение не только с нашими союзниками, но и со всеми странами. Люди должны свободно въезжать в любую страну.
borderchecks	5	Благодаря этому соглашению наши люди смогут легко отдыхать у наших союзников, если захотят, с незначительным дополнительным риском, поэтому я поддерживаю это.
borderchecks	6	Мы не должны позволять людям покидать страну, и поэтому я против этого соглашения.
foreignaid		Иностранная помощь
foreignaid	0	Мы должны расширять свое влияние за рубежом, и иностранная помощь — это хороший способ завоевать расположение и популярность за рубежом.
foreignaid	1	Иностранная помощь может значительно улучшить качество жизни развивающихся стран за относительно небольшие деньги для нас, поэтому мы должны её предоставлять.
foreignaid	2	Мы должны направлять иностранную помощь в страны с низкими стандартами. Улучшение жизни там уменьшает количество беженцев по всему миру и защищает нашу нацию от них.
foreignaid	3	Мы не должны тратить деньги наших налогоплательщиков, заработанные тяжёлым трудом, на другие страны.
foreignaid	4	Дела других стран не имеют для нас значения, поэтому нет причин отправлять иностранную помощь.
foreignaid	5	Любое правительство должно быть минимальным, если оно вообще существует, и поэтому не должно иметь средств, чтобы платить деньги за границу.
unres		Резолюции Организации Объединённых Наций (Главные 6 органов)
unres	0	Мы не должны быть частью ООН.
unres	1	Я поддерживаю идею создания ООН или аналогичной новой организации, которая заменит правительства, подобные нашему, чтобы объединить мир в единую страну.
unres	2	Наша страна должна заботиться о своём народе, а не о народе всего мира, поэтому мы не должны следовать указаниям ООН, если они не совпадают с нашими собственными интересами.
unres	3	Мы должны следовать резолюциям ООН и оказывать международное давление на страны, которые этого не делают, чтобы сделать мир лучше для всех.
unres	4	Законы нашей страны не должны определяться другими странами, мы можем рассматривать резолюции ООН, но должны принимать их как законы в нашей стране, только если они соответствуют нашим интересам.
unres	5	Мы должны пытаться использовать ООН в своих интересах, поддерживать предложения, которые выгодны нам, и поощрять других следовать им, однако мы должны следовать только тем предложениям, которые выгодны нам.
unres	6	Мы не должны менять свой образ жизни, потому что так говорят другие страны.
espionage		Самые важные задачи шпионского агентства
espionage	0	Мы должны использовать наше  иностранное шпионское агенство, чтобы попытаться внедриться к нашим врагам за рубежом и свергнуть лидеров, которые выступают против нас, когда это возможно.
espionage	1	Наиболее важной задачей является выявление и отслеживание худших видов преступников, проживающих в нашей стране.
espionage	2	Мы должны использовать наши шпионские агентства в первую очередь для выявления террористических угроз, которые могут представлять опасность для наших граждан.
espionage	3	Наиболее важной задачей для нашего внутреннего шпионского агентства является отслеживание людей, которые незаконно въехали в страну, чтобы мы могли их депортировать.
espionage	4	Самая важная задача нашего иностранного шпионского агенства — раскрывать и разоблачать злодеяния по всему миру.
espionage	5	Мы даже не должны иметь иностранного шпионского агенства. Наше внутреннее агентство должно быть сосредоточено на раскрытии и отслеживании преступников и людей, незаконно проникших в страну.
espionage	6	У нас не должно быть никакого шпионского агентства.
whistle		Разоблачители секретной информации (информаторы)
whistle	0	Разоблачители должны сообщать по надлежащим каналам об этических проблемах. Если будет установлено, что кто-то допустил утечку секретной информации, он должен быть наказан.
whistle	1	Не должно быть никакой секретной информации, и поэтому нет никаких проблем с разоблачителями.
whistle	2	Разоблачители, которые раскрывают информацию, которую народ имеет право знать, например, о незаконной деятельности правительства, должны быть защищены и считаться героями.
whistle	3	Любой, кто разглашает государственные секреты, должен быть наказан. Люди, которым государство доверяет свои секреты, не должны иметь право определять, право государство или нет.
police		Смерть по вине полиции
police	0	Когда происходит смерть полицейского, должно быть проведено расследование. Офицер должен быть наказан, если он не следовал политике, но если он следовал плохой политике, политика должна быть изменена, офицер не должен быть наказан.
police	1	Полиции не должно быть, люди должны вершить правосудие своими силами.
police	2	Полицейские работают на опасной, очень стрессовой работе и, как правило, должны иметь защиту, когда они предпринимают действия при восприятии угрозы, которые оказываются ошибочными.
police	3	Большинство полицейских не должны быть вооружены смертоносным оружием, должны быть представителями тех сообществ, которым они служат, и должны быть обучены методам деэскалации, и им должны быть предъявлены обвинения, если они убивают члена сообщества, которое они должны защищать.
police	4	Полиция должна иметь законное право убивать, если кто-то оказывает видимое сопротивление полиции.
survey		Наблюдение
survey	0	Люди должны иметь разумные основания ожидать конфиденциальности своих данных, но правительству должно быть разрешено получать доступ к частным сообщениям определенных людей, если у него есть достаточные основания для получения ордера.
survey	1	Компаниям должно быть разрешено отслеживать ваши сообщения и следить за тем, чтобы вы соблюдали все их условия, но государству, если оно вообще существует, не должно быть разрешено это делать.
survey	2	Правительство должно иметь возможность доступа к коммуникациям любого человека. Это должно использоваться для того, чтобы отбить у людей желание заниматься незаконной деятельностью в интернете.
survey	3	Люди должны иметь право на конфиденциальность своих сообщений. Правительство не должно иметь возможности получать электронные данные.
survey	4	Правительству не следует разрешать просматривать большинство сообщений, но программное обеспечение должно автоматически отмечать потенциально незаконную деятельность для проверки и возможного сообщения властям.
guns		Владение оружием
guns	0	Те, кто может доказать необходимость владения оружием, должны иметь возможность приобрести его, однако те, кто не имеет такой необходимости, не должны иметь этой возможности.
guns	1	Владение оружием должно поощряться, если не требоваться, для сдерживания преступников, которым придётся подвергать свою жизнь риску при совершении преступления.
guns	2	Любой человек должен иметь возможность владеть оружием и быть в состоянии использовать его, когда он чувствует угрозу.
guns	3	Многие случаи смерти от огнестрельного оружия происходят из-за отсутствия надлежащей подготовки. Необходимо ввести ограничения на приобретение оружия, включая требования к обучению и проверку биографических данных, чтобы гарантировать ответственность владельцев оружия.
guns	4	Гражданским лицам не должно быть разрешено владеть оружием, это подвергает опасности сотрудников правоохранительных органов и затрудняет пресечение преступлений.
guns	5	Легализация оружия не решит проблему преступности — это пойдёт на руку в первую очередь бандитским группировкам и мародёрам, которые станут ещё опаснее.  
deathpenalty		Смертная казнь
deathpenalty	0	Если люди признаны виновными без тени сомнения в совершении особо чудовищного преступления, им должна быть вынесена смертная казнь.
deathpenalty	1	Тюрем не должно быть, поэтому, если кто-то совершил преступление, при котором небезопасно выпускать его на свободу, он должен быть казнён.
deathpenalty	2	Смертная казнь должна быть одним из вариантов, так как она снижает уровень преступности, служа сдерживающим фактором.
deathpenalty	3	Мы всегда должны пытаться реабилитировать преступников, которые должны иметь право жить и меняться, поэтому смертная казнь должна быть запрещена.
deathpenalty	4	Те, кто бросает вызов государству, должны быть казнены, чтобы убедиться, что те, кто остаётся, подчиняются.
deathpenalty	5	Смертная казнь — это лёгкий выход для особо отвратительных преступников, поэтому её следует запретить.
A		Выберите вариант, который вам ближе всего
BL		Нажмите ?, если предпочтение незначительное
BR		Нажмите ✓, если это определённо ваше предпочтение
all		Все
home		Главная страница
values		Возможные значения
